pulp_to_mixing_tank23,flow_after_machine_chest21,level_condensate_bucket1_valve_position,steam_group3_pressure,steam_group4under_pressure,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,steamflow
154.65,2538.6,32.205,219.65,234.46,234.72,234.63,234.53,61,10.378,145.2,17.855
155.67,2551.9,33.61,218.08,233.55,232.96,233.26,233.29,62,10.318,143.31,17.736
156.24,2553.9,26.97,181.2,196.19,195.53,195.78,196.22,29.002,10.308,141.65,16.604
156.32,2577.1,27.496,183.79,198.82,197.69,198.68,199.15,26.708,10.308,143.8,17.29
156.46,2578.9,30.545,193.24,207.66,208.18,207.8,207.94,37.625,10.366,143.37,17.71
156.68,2571,37.802,203.24,218.44,218.04,218.03,217.44,45.875,10.367,143.9,17.86
159.73,2635.8,35.614,204.86,220.05,218.04,220.03,217.44,48.375,10.343,147.93,17.86
159.4,2631.3,29.367,202.2,217.61,217.81,216.76,217.32,46.315,10.404,147.95,17.623
158.7,2602.2,31.274,198.13,213.12,213.38,212.89,213.48,41.38,10.316,148.19,17.599
158.77,2612.1,32.75,198.27,212.68,212.67,212.88,212.78,42,10.337,148.76,17.587
162.22,2657.7,39.206,214.5,230,229.57,229.48,229.93,58.121,10.388,149.95,18.318
162.44,2664.1,30.251,205.3,220.15,220.27,220.44,219.88,50.375,10.11,148.41,18.369
184.36,3027.9,66.116,241.1,255.79,256.62,256.22,256.42,83.381,11.128,170.36,18.368
182.51,3017,37.869,230.16,244.94,245.1,244.71,244.51,72.5,11.16,166.27,19.065
181.25,3003.1,34.479,217.89,233.36,232.92,233.08,232.56,59.861,11.101,166.4,18.586
180.34,2978.7,32.123,209.17,224.54,224.81,224.77,224.76,53.5,11.175,166.4,18.581
180.48,2999.2,35.535,224.82,240.31,240.11,240.31,239.82,67.199,11.39,169.32,18.581
182.46,3009.2,35.914,215.55,230.22,230.7,230.16,230.45,59.625,11.512,170.72,18.281
186.56,3073.1,37.597,232.76,247.25,246.82,246.57,247.39,76.125,11.554,173.96,18.874
183.56,3037.6,41.134,234.91,249.66,249.17,249.83,249.77,75.49,11.581,174.18,18.968
180.59,3037.6,38.594,234.3,249.24,249.17,249.29,249.38,75.49,11.618,175.28,18.671
184.93,3046.8,39.822,234.3,249.24,250.23,249.29,249.38,76,11.603,176.15,19.122
190.03,3124.5,38.337,233.73,250.11,249.18,249.28,249.5,76.752,11.611,171.16,18.488
190.04,3119.8,41.226,229.37,243.77,244.7,243.69,244.35,70.593,11.541,170.6,18.488
184.65,3039.7,39.556,228.91,245.11,243.6,244.31,244.69,72.875,11.495,173.1,18.478
180.37,2971,39.512,226.56,240.33,240.65,241.4,240.98,69.188,11.564,172.49,18.604
177.53,2941.5,34.771,225.24,239.01,239.85,239.57,239.79,67.625,11.469,170.36,18.215
179.06,2950.8,39.512,221.95,236.45,236.79,237.27,237.04,63.875,11.532,169.01,18.313
181.63,2984.7,40.043,233.79,248.62,248.08,248.66,248.05,75.033,11.557,168.39,18.864
181.76,3005.2,39.264,226.48,241.97,242.22,242.21,242.29,69.105,11.503,166.94,18.575
183.71,3027.7,38.977,225.5,240.29,240.61,239.52,239.89,68.503,11.474,166.91,18.528
185.45,3046.5,38.803,228.24,243.04,243.1,243.26,243.2,70.25,11.513,166.3,18.53
182.37,3008.6,38.353,228.42,248.52,248.12,243.26,243.5,75.172,11.461,169.12,18.885
178.56,2935.4,36.123,232.83,248.52,248.12,247.69,247.94,72.625,11.473,168.07,18.885
186.72,3073.7,40.009,233.16,248.9,248.25,248.37,248.1,73.625,11.505,166.43,18.897
183.17,2998.6,37.3,230.83,245.36,245.29,244.62,245.36,71.238,11.368,165.84,18.661
181.61,2995.7,38.37,228.7,243.29,243.51,243.73,243.84,70.625,11.421,166.07,18.31
184.74,3035.2,38.224,222.89,238.04,237.62,238.16,237.63,65.75,11.39,164.84,18.573
189.29,3130.7,39.331,232.14,247.39,246.96,247.24,246.95,72.153,11.388,163.81,19.011
189.99,3130.7,36.654,235.23,249.53,250.07,250.05,249.53,76.875,11.433,163.87,18.888
189.91,3132.1,37.616,234.13,249.75,249.29,249.58,249.09,75.872,11.425,163.87,18.894
187.06,3073.9,68.753,237.41,252.2,252.53,251.77,251.32,75.872,11.416,164.35,18.732
186.45,3070.1,48.74,231.78,246.46,247.18,246.87,246.51,67.5,11.416,165.68,18.785
186.38,3070.1,36.411,225.01,239.64,240.26,239.94,239.58,67.5,11.41,165.97,18.593
184.92,3038.2,35.319,227.68,242.33,242.42,241.76,242.17,72.125,11.41,165.88,18.54
184.68,3038.2,35.9,230.08,244.79,244.96,244.94,244.97,72.25,11.418,168.23,18.692
183.3,3022.3,37.808,234.68,249.16,249.67,249.44,249.32,77.625,11.387,166.71,18.803
183.47,3025.6,39.391,234.3,249.39,248.92,248.98,249.19,78.875,11.289,165.96,18.786
181.9,3000.6,39.447,234.3,245.87,245.46,245.53,245.71,73.75,11.324,167.5,18.655
181.69,3001.7,40.955,234.84,250.03,250.03,250.03,246.27,73.75,11.324,168.31,18.867
181.69,3001.5,40.672,231.47,246.8,246.52,246.56,246.27,73.75,11.317,170.01,18.849
181.95,3001.5,36.795,229.56,244.14,244.43,244.47,244.87,73,11.385,169.05,18.594
184.94,3001.5,38.193,234.47,249.24,249.41,248.98,248.93,77.875,11.383,169.05,18.98
182.91,2999.2,38.823,230.38,245.53,245.33,245.69,245.47,74.375,11.392,169.45,18.856
185.88,3050.2,36.51,226.71,242.82,242.24,242.94,242.97,71.743,11.43,171.21,18.429
188.65,3098.4,37.225,238.42,254.25,253.51,253.12,253.46,80.5,11.589,171.51,19.102
190.17,3111.5,41.825,242.61,257.75,257.76,257.23,257.44,84.5,11.542,171.49,19.102
189.14,3112.4,38.097,236.74,251.74,251.13,251.85,252.02,83,11.512,169.54,19.102
190.39,3125.1,42.636,249.63,264.28,264.61,264.29,264.05,94.125,11.554,169.01,19.21
187.15,3068.4,45.428,245.07,259.41,260.06,259.97,259.77,89.875,11.538,171.15,18.985
185.72,3052.5,50.035,254.59,268.93,261.06,269.19,269.02,90.375,11.471,170.6,19.438
183.04,3006.4,39.022,246.5,261.91,261.06,261.69,261.45,90.375,11.474,171.02,19.233
186.99,3071.6,47.75,249.39,264.32,264.39,264.35,264.15,90.375,11.428,168.94,19.233
186.35,3057.9,63.89,249.58,263.97,263.83,263.85,263.43,91,11.414,168.4,19.389
183.71,3032.7,54.865,255.19,270.19,270.13,270.35,270.12,95.625,11.409,168.7,19.389
184.32,3029.2,47.383,252.11,267.03,267.35,266.49,267.07,95.375,11.365,166.44,19.399
183.39,3023.9,63.034,241.63,257.11,256.93,257.36,257.5,87.253,11.258,165.09,18.643
184.97,3023.2,42.935,244.29,259.5,260.14,259.79,257.5,89.875,11.348,165.69,18.868
184.09,3007.4,40.855,243.17,257.97,258.1,258.08,257.41,85.625,11.161,165.69,19.071
184.09,3018.4,41.203,241.59,256.79,256.11,256.8,256.6,84.625,11.284,165.7,18.962
183.63,3017.4,44.779,243.62,258.47,258.58,258.68,258.53,87.75,11.34,165.07,19.296
183.63,3012.7,44.779,239.45,254.48,254.29,254.17,254.6,82.512,11.296,166.24,19.055
183.63,3019.4,45.044,248.18,262.95,262.74,262.76,262.76,82.5,11.267,166.97,19.245
183.63,3019,40.605,248.84,263.75,264.5,264.2,264.12,82.5,11.327,166.62,19.182
179.76,2963,36.049,241.51,256.29,256.96,257.24,256.59,76.25,11.225,165.67,18.946
179.87,2955.5,37.748,247.16,261.65,262.58,261.05,261.58,79.75,11.181,165.61,19.285
